num,dyad,id,time,RM,party,timecontrast1_pre_post,timecontrast2_pre_followup,timecontrast3_post_pre,timecontrast4_post_followup,timecontrast5_followup_pre,timecontrast6_followup_post,IH,affiliation_C
340,1117,365,1,1,-1,0,0,1,0,1,0,5.5,0.3017
341,1117,365,2,2,-1,1,0,0,0,0,1,6,0.3017
342,1117,365,3,3,-1,0,1,0,1,0,0, ,0.3017
343,1117,739,1,4,1,0,0,1,0,1,0,7,0.5517
344,1117,739,2,5,1,1,0,0,0,0,1,7,0.5517
345,1117,739,3,6,1,0,1,0,1,0,0, ,0.5517
346,1123,678,1,1,-1,0,0,1,0,1,0,5.5,-0.9483
347,1123,678,2,2,-1,1,0,0,0,0,1,5,-0.9483
348,1123,678,3,3,-1,0,1,0,1,0,0,5.5,-0.9483
349,1123,462,1,4,1,0,0,1,0,1,0,6,0.3017
350,1123,462,2,5,1,1,0,0,0,0,1,6,0.3017
351,1123,462,3,6,1,0,1,0,1,0,0,6,0.3017
352,1142,171,1,1,-1,0,0,1,0,1,0,7,0.5517
353,1142,171,2,2,-1,1,0,0,0,0,1,7,0.5517
354,1142,171,3,3,-1,0,1,0,1,0,0, ,0.5517
355,1142,202,1,4,1,0,0,1,0,1,0,4,0.5517
356,1142,202,2,5,1,1,0,0,0,0,1, ,0.5517
357,1142,202,3,6,1,0,1,0,1,0,0, ,0.5517
358,1148,541,1,1,-1,0,0,1,0,1,0,4.5,-0.4483
359,1148,541,2,2,-1,1,0,0,0,0,1,6,-0.4483
360,1148,541,3,3,-1,0,1,0,1,0,0,6,-0.4483
361,1148,554,1,4,1,0,0,1,0,1,0,4,-0.9483
362,1148,554,2,5,1,1,0,0,0,0,1,5,-0.9483
363,1148,554,3,6,1,0,1,0,1,0,0,4.5,-0.9483
364,1162,152,1,1,-1,0,0,1,0,1,0,6,-0.4483
365,1162,152,2,2,-1,1,0,0,0,0,1,6.5,-0.4483
366,1162,152,3,3,-1,0,1,0,1,0,0,6,-0.4483
367,1162,834,1,4,1,0,0,1,0,1,0,6,0.3017
368,1162,834,2,5,1,1,0,0,0,0,1,7,0.3017
369,1162,834,3,6,1,0,1,0,1,0,0,7,0.3017
370,1167,546,1,1,-1,0,0,1,0,1,0,4,0.5517
371,1167,546,2,2,-1,1,0,0,0,0,1,5,0.5517
372,1167,546,3,3,-1,0,1,0,1,0,0, ,0.5517
373,1167,114,1,4,1,0,0,1,0,1,0,6.5,-0.6983
374,1167,114,2,5,1,1,0,0,0,0,1,6,-0.6983
375,1167,114,3,6,1,0,1,0,1,0,0,6,-0.6983
376,1169,874,1,1,-1,0,0,1,0,1,0,4.5,-0.9483
377,1169,874,2,2,-1,1,0,0,0,0,1,6,-0.9483
378,1169,874,3,3,-1,0,1,0,1,0,0, ,-0.9483
379,1169,263,1,4,1,0,0,1,0,1,0,5,-0.4483
380,1169,263,2,5,1,1,0,0,0,0,1,4.5,-0.4483
381,1169,263,3,6,1,0,1,0,1,0,0, ,-0.4483
382,1170,613,1,1,-1,0,0,1,0,1,0,7,0.5517
383,1170,613,2,2,-1,1,0,0,0,0,1,7,0.5517
384,1170,613,3,3,-1,0,1,0,1,0,0, ,0.5517
385,1170,338,1,4,1,0,0,1,0,1,0,6,-0.4483
386,1170,338,2,5,1,1,0,0,0,0,1,6,-0.4483
387,1170,338,3,6,1,0,1,0,1,0,0, ,-0.4483
388,1188,536,1,1,-1,0,0,1,0,1,0,7,0.5517
389,1188,536,2,2,-1,1,0,0,0,0,1,7,0.5517
390,1188,536,3,3,-1,0,1,0,1,0,0, ,0.5517
391,1188,794,1,4,1,0,0,1,0,1,0,6.5,0.5517
392,1188,794,2,5,1,1,0,0,0,0,1,6,0.5517
393,1188,794,3,6,1,0,1,0,1,0,0, ,0.5517
394,1196,747,1,1,-1,0,0,1,0,1,0,7,0.5517
395,1196,747,2,2,-1,1,0,0,0,0,1,6.5,0.5517
396,1196,747,3,3,-1,0,1,0,1,0,0,6,0.5517
397,1196,167,1,4,1,0,0,1,0,1,0,6.5,0.5517
398,1196,167,2,5,1,1,0,0,0,0,1,6.5,0.5517
399,1196,167,3,6,1,0,1,0,1,0,0, ,0.5517
400,1197,757,1,1,-1,0,0,1,0,1,0,3.5,-0.9483
401,1197,757,2,2,-1,1,0,0,0,0,1,5.5,-0.9483
402,1197,757,3,3,-1,0,1,0,1,0,0, ,-0.9483
403,1197,61,1,4,1,0,0,1,0,1,0,6.5,-0.4483
404,1197,61,2,5,1,1,0,0,0,0,1,6,-0.4483
405,1197,61,3,6,1,0,1,0,1,0,0, ,-0.4483
406,1210,233,1,1,-1,0,0,1,0,1,0,6,-1.4483
407,1210,233,2,2,-1,1,0,0,0,0,1,7,-1.4483
